City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,Kargil,34.5667,76.1,11.73,63,3,3.51,IN,2021-11-28 19:46:26
138,Saint-Augustin,51.226,-58.6502,34.81,80,100,24.23,CA,2021-11-28 19:43:23
139,Bam,29.106,58.357,58.68,34,83,1.97,IR,2021-11-28 19:46:27
140,Mount Isa,-20.7333,139.5,76.77,31,75,12.66,AU,2021-11-28 19:46:27
141,Dunedin,-45.8742,170.5036,58.44,57,57,1.99,NZ,2021-11-28 19:46:27
142,Portobelo,9.55,-79.65,81.01,87,100,7.58,PA,2021-11-28 19:46:28
143,Aklavik,68.2191,-135.0107,-13.97,70,40,14.97,CA,2021-11-28 19:45:20
144,Naifaru,5.4444,73.3657,79.81,80,100,11.48,MV,2021-11-28 19:46:28
145,Kemin,42.7846,75.6892,30.27,49,2,10.07,KG,2021-11-28 19:42:47
146,Haines Junction,60.7522,-137.5108,-23.85,69,100,1.14,CA,2021-11-28 19:46:29
147,Torbay,47.6666,-52.7314,47.17,66,75,17.27,CA,2021-11-28 19:44:16
148,Srandakan,-7.9386,110.2506,75.67,86,98,2.91,ID,2021-11-28 19:46:30
149,Novoomskiy,54.8415,73.3017,6.82,85,57,2.24,RU,2021-11-28 19:46:30
150,Douglas,41.3,-96.167,48.13,43,1,6.91,US,2021-11-28 19:46:31
151,Tubuala,9.5167,-79.0333,82.51,84,100,8.5,PA,2021-11-28 19:46:31
152,Tokomaru,-40.4667,175.5,63.05,82,75,4.14,NZ,2021-11-28 19:46:31
153,Nanortalik,60.1432,-45.2371,41.58,93,100,15.03,GL,2021-11-28 19:46:32
154,Jamestown,42.097,-79.2353,36.72,93,90,12.66,US,2021-11-28 19:42:33
155,Puerto Ayora,-0.7393,-90.3518,76.96,81,87,10.07,EC,2021-11-28 19:46:32
156,Los Llanos De Aridane,28.6585,-17.9182,64.15,68,75,19.57,ES,2021-11-28 19:46:33
157,Sherlovaya Gora,50.5667,116.25,-1.79,94,19,1.7,RU,2021-11-28 19:46:33
158,Norman Wells,65.282,-126.8329,-15.25,95,99,6.38,CA,2021-11-28 19:46:33
159,Ponta Do Sol,32.6667,-17.1,63.23,76,57,8.52,PT,2021-11-28 19:46:34
160,Faya,18.3851,42.4509,62.71,37,0,5.61,SA,2021-11-28 19:46:34
161,Great Falls,47.5002,-111.3008,61.99,33,1,33.38,US,2021-11-28 19:46:34
162,Pahasu,28.1833,78.05,64.13,53,1,2.86,IN,2021-11-28 19:46:35
163,Geraldton,-28.7667,114.6,68.41,88,90,11.5,AU,2021-11-28 19:46:35
164,Sergeyevka,53.88,67.4158,12.38,83,100,7.61,KZ,2021-11-28 19:46:35
165,Nieuw Amsterdam,5.8833,-55.0833,89.76,55,20,11.5,SR,2021-11-28 19:46:36
166,Montivilliers,49.5452,0.1877,41.77,60,75,12.66,FR,2021-11-28 19:46:36
167,Mariinsk,56.2139,87.7472,17.73,89,100,11.86,RU,2021-11-28 19:46:36
168,Rafaela,-31.2503,-61.4867,77.92,39,5,17.38,AR,2021-11-28 19:46:37
169,Broome,42.2506,-75.833,32.77,100,90,6.91,US,2021-11-28 19:46:37
170,Major Isidoro,-9.5322,-36.985,87.87,50,85,15.39,BR,2021-11-28 19:46:37
171,Muros,42.7762,-9.0603,52.3,80,66,16.44,ES,2021-11-28 19:43:00
172,Caravelas,-17.7125,-39.2481,75.27,92,33,10.45,BR,2021-11-28 19:46:38
173,Salina Cruz,16.1667,-95.2,88.34,46,100,21.25,MX,2021-11-28 19:42:48
174,Bengkulu,-3.8004,102.2655,75.94,86,100,4.85,ID,2021-11-28 19:46:38
175,Cayenne,4.9333,-52.3333,84.24,79,75,4.61,GF,2021-11-28 19:46:39
176,Hualmay,-11.0964,-77.6139,70.68,74,68,10.51,PE,2021-11-28 19:44:17
177,Jacareacanga,-6.2222,-57.7528,83.25,70,98,2.55,BR,2021-11-28 19:46:39
178,Georgetown,5.4112,100.3354,76.95,88,20,0.0,MY,2021-11-28 19:45:12
179,Chifeng,42.2683,118.9636,31.03,65,100,1.36,CN,2021-11-28 19:46:40
180,Shimoda,34.6667,138.95,49.64,61,39,5.26,JP,2021-11-28 19:46:40
181,Klaksvik,62.2266,-6.589,36.52,64,100,7.05,FO,2021-11-28 19:46:40
182,Rio Gallegos,-51.6226,-69.2181,71.65,10,75,35.68,AR,2021-11-28 19:45:42
183,Praia Da Vitoria,38.7333,-27.0667,57.45,88,20,3.36,PT,2021-11-28 19:47:41
184,Saryozek,44.3583,77.9753,28.26,38,0,2.57,KZ,2021-11-28 19:47:41
185,Salalah,17.0151,54.0924,75.29,78,0,2.3,OM,2021-11-28 19:43:24
186,Trinidad,-14.8333,-64.9,87.78,66,75,16.11,BO,2021-11-28 19:47:42
187,Lufilufi,-13.8745,-171.5986,82.18,78,97,14.63,WS,2021-11-28 19:47:42
188,Opelousas,30.5335,-92.0815,64.42,55,90,6.91,US,2021-11-28 19:47:42
189,Talnakh,69.4865,88.3972,-15.72,98,66,2.28,RU,2021-11-28 19:44:48
190,Ahipara,-35.1667,173.1667,66.34,71,100,2.21,NZ,2021-11-28 19:47:43
191,Hasaki,35.7333,140.8333,34.2,48,1,1.43,JP,2021-11-28 19:45:20
192,Odienne,9.51,-7.5692,79.79,38,12,1.77,CI,2021-11-28 19:47:43
193,Clarence Town,-32.5833,151.7833,60.71,86,100,0.92,AU,2021-11-28 19:47:44
194,Lao Cai,22.4833,103.95,61.68,93,2,1.57,VN,2021-11-28 19:47:44
195,Arraial Do Cabo,-22.9661,-42.0278,82.36,69,40,10.36,BR,2021-11-28 19:47:44
196,Palmer,42.1584,-72.3287,35.53,64,90,4.61,US,2021-11-28 19:47:45
197,Licheng,23.2955,113.8284,64.33,71,5,5.35,CN,2021-11-28 19:47:45
198,Kutum,14.2,24.6667,69.82,19,0,9.42,SD,2021-11-28 19:47:34
199,Port Blair,11.6667,92.75,79.86,74,11,7.54,IN,2021-11-28 19:47:46
200,Ferrol,43.4832,-8.2369,54.12,85,100,16.08,ES,2021-11-28 19:47:46
201,Narrabri,-30.3167,149.7833,62.69,88,90,6.91,AU,2021-11-28 19:47:46
202,Plettenberg Bay,-34.0527,23.3716,64.74,83,80,9.06,ZA,2021-11-28 19:47:47
203,Lima,-12.0432,-77.0282,68.25,73,40,5.75,PE,2021-11-28 19:43:49
204,Kupang,-10.1667,123.5833,79.48,81,100,3.62,ID,2021-11-28 19:47:47
205,Mnogovershinnyy,53.9353,139.9242,16.27,95,100,3.87,RU,2021-11-28 19:47:47
206,Saryg-Sep,51.5,95.6,1.98,99,100,2.28,RU,2021-11-28 19:47:48
207,Poum,-20.2333,164.0167,79.36,77,55,5.26,NC,2021-11-28 19:47:48
208,Baruun-Urt,46.6806,113.2792,7.34,98,82,4.36,MN,2021-11-28 19:46:37
209,Urumqi,43.801,87.6005,11.35,85,0,6.71,CN,2021-11-28 19:47:49
210,Yebaishou,41.3975,119.6408,32.85,78,58,5.68,CN,2021-11-28 19:47:49
211,Kailua,21.4022,-157.7394,78.78,65,1,9.22,US,2021-11-28 19:47:49
212,Waki,34.0667,134.15,38.62,64,0,4.38,JP,2021-11-28 19:47:50
213,Cidreira,-30.1811,-50.2056,72.84,85,100,7.52,BR,2021-11-28 19:47:50
214,Nerchinskiy Zavod,51.3088,119.61,-4.0,100,31,1.81,RU,2021-11-28 19:47:50
215,Saldanha,-33.0117,17.9442,64.45,85,0,5.44,ZA,2021-11-28 19:47:51
216,Sao Filipe,14.8961,-24.4956,76.91,70,93,14.29,CV,2021-11-28 19:46:03
217,Dingle,10.9995,122.6711,75.13,94,61,7.4,PH,2021-11-28 19:47:51
218,Severodvinsk,64.5635,39.8302,5.11,91,100,6.35,RU,2021-11-28 19:47:51
219,Virginia Beach,36.8529,-75.978,62.65,27,75,10.36,US,2021-11-28 19:47:52
220,Stornoway,58.2093,-6.3865,33.76,86,96,0.0,GB,2021-11-28 19:47:52
221,Hovd,48.0056,91.6419,15.89,35,18,0.81,MN,2021-11-28 19:47:52
222,Quang Ngai,15.1167,108.8,75.34,95,100,11.68,VN,2021-11-28 19:47:53
223,Mwanza,-2.5167,32.9,73.45,83,40,0.0,TZ,2021-11-28 19:47:53
224,Husavik,66.0449,-17.3389,28.31,94,100,6.04,IS,2021-11-28 19:46:08
225,Alihe,50.5667,123.7167,7.63,98,77,2.84,CN,2021-11-28 19:47:54
226,Tinde,-3.8833,33.2,73.72,65,90,4.32,TZ,2021-11-28 19:47:54
227,Shache,38.4167,77.2406,29.08,38,32,3.36,CN,2021-11-28 19:47:55
228,Shihezi,44.3,86.0333,24.84,65,0,0.74,CN,2021-11-28 19:48:55
229,Ippy,6.2679,21.2247,77.23,36,99,2.26,CF,2021-11-28 19:48:55
230,Fergus Falls,46.283,-96.0776,38.66,55,1,3.44,US,2021-11-28 19:48:56
231,Port-Gentil,-0.7193,8.7815,80.56,83,20,8.05,GA,2021-11-28 19:47:30
232,Goure,13.9835,10.2704,76.28,12,11,7.65,NE,2021-11-28 19:48:56
233,Kjollefjord,70.9457,27.3465,14.05,93,27,15.1,NO,2021-11-28 19:48:56
234,Veshenskaya,49.6303,41.7334,43.16,95,100,6.91,RU,2021-11-28 19:48:57
235,Longyearbyen,78.2186,15.6401,8.44,61,75,26.46,SJ,2021-11-28 19:48:57
236,Nome,64.5011,-165.4064,-16.53,69,1,5.75,US,2021-11-28 19:48:58
